DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
190326475,3/1/2020 0:00,3/1/2020 0:00,2130,7,Wilshire,784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510,998,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506
200106753,2/9/2020 0:00,2/8/2020 0:00,1800,1,Central,182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330,998,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
200320258,11/11/2020 0:00,11/4/2020 0:00,1700,3,Southwest,356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,1400 W  37TH                         ST,,34.021,-118.3002
200907217,5/10/2023 0:00,3/10/2020 0:00,2037,9,Van Nuys,964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
220614831,8/18/2022 0:00,8/17/2020 0:00,1200,6,Hollywood,666,2,354,THEFT OF IDENTITY,1822 1501 0930 2004,28,M,H,102,SIDEWALK,,,IC,Invest Cont,354,,,,1900    TRANSIENT,,34.0944,-118.3277
231808869,4/4/2023 0:00,12/1/2020 0:00,2300,18,Southeast,1826,2,354,THEFT OF IDENTITY,1822 0100 0930 0929,41,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9900    COMPTON                      AV,,33.9467,-118.2463
230110144,4/4/2023 0:00,7/3/2020 0:00,900,1,Central,182,2,354,THEFT OF IDENTITY,0930 0929,25,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1100 S  GRAND                        AV,,34.0415,-118.262
220314085,7/22/2022 0:00,5/12/2020 0:00,1110,3,Southwest,303,2,354,THEFT OF IDENTITY,100,27,F,B,248,CELL PHONE STORE,,,IC,Invest Cont,354,,,,2500 S  SYCAMORE                     AV,,34.0335,-118.3537
231309864,4/28/2023 0:00,12/9/2020 0:00,1400,13,Newton,1375,2,354,THEFT OF IDENTITY,100,24,F,B,750,CYBERSPACE,,,IC,Invest Cont,354,,,,1300 E  57TH                         ST,,33.9911,-118.2521
211904005,12/31/2020 0:00,12/31/2020 0:00,1220,19,Mission,1974,2,624,BATTERY - SIMPLE ASSAULT,416,26,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,9000    CEDROS                       AV,,34.2336,-118.4535
221804943,1/21/2022 0:00,7/1/2020 0:00,1335,18,Southeast,1822,2,354,THEFT OF IDENTITY,1822 0930,26,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 W  COLDEN                       AV,,33.9492,-118.2739
221908151,4/12/2022 0:00,10/1/2020 0:00,1,19,Mission,1988,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0913 2024 1817 0360 1258 0507,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,821,,,13400    RANGOON                      ST,,34.2285,-118.4258
230204214,1/5/2023 0:00,2/1/2020 0:00,800,2,Rampart,201,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1258 0913 0400 0500 0522 1817,7,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,900 N  MARIPOSA                     AV,,34.0868,-118.2991
221008844,5/6/2022 0:00,11/1/2020 0:00,130,10,West Valley,1029,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VALJEAN                      ST,VANOWEN                      AV,34.1939,-118.4859
230207571,3/16/2023 0:00,1/1/2020 0:00,1500,2,Rampart,271,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2000 1251 1259 0522 0507 0913,13,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,JA,Juv Arrest,810,,,,900 S  LAKE                         ST,,34.0539,-118.2799
230312288,6/1/2023 0:00,2/2/2020 0:00,315,3,Southwest,391,2,354,THEFT OF IDENTITY,0100 0928 0929 0935 1822,56,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,4200    SANTO TOMAS                  DR,,34.0103,-118.3456
231805781,2/3/2023 0:00,7/1/2020 0:00,805,18,Southeast,1802,2,354,THEFT OF IDENTITY,0928 1822,22,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 W  90TH                         ST,,33.9551,-118.2814
231322474,12/24/2023 0:00,1/9/2020 0:00,1200,13,Newton,1354,2,354,THEFT OF IDENTITY,100,23,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4000    WALL                         ST,,34.0112,-118.2716
210705560,11/27/2020 0:00,11/27/2020 0:00,1800,7,Wilshire,776,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0400,31,F,O,101,STREET,307,VEHICLE,AA,Adult Arrest,230,,,,4500    LOMITA                       ST,,34.0452,-118.3351
221016258,9/20/2022 0:00,1/1/2020 0:00,1,10,West Valley,1067,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2041 1906 1822,30,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,5200    GENESTA                      AV,,34.166,-118.5033
220705246,2/3/2022 0:00,2/11/2020 0:00,1200,7,Wilshire,747,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,57,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,800 S  TREMAINE                     AV,,34.0608,-118.3359
230808643,4/25/2023 0:00,1/1/2020 0:00,800,8,West LA,801,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0352 1822 0344,56,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,16700    MONTE HERMOSO                DR,,34.0677,-118.552
231907172,3/21/2023 0:00,3/15/2020 0:00,1200,19,Mission,1983,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0913 1817 1801 0503,12,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,8500    COLUMBUS                     AV,,34.2246,-118.4654
232011098,6/4/2023 0:00,7/1/2020 0:00,1200,20,Olympic,2088,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1258 0400 0522 0913 0551 2021,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,1700 S  WESTMORELAND                 AV,,34.0433,-118.2892
200412582,9/9/2020 0:00,9/9/2020 0:00,630,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 28,,34.082,-118.213
