location,lat,lon
1900 S  LONGWOOD                     AV,34.0375,-118.3506
1000 S  FLOWER                       ST,34.0444,-118.2628
1400 W  37TH                         ST,34.021,-118.3002
14000    RIVERSIDE                    DR,34.1576,-118.4387
1900    TRANSIENT,34.0944,-118.3277
9900    COMPTON                      AV,33.9467,-118.2463
1100 S  GRAND                        AV,34.0415,-118.262
2500 S  SYCAMORE                     AV,34.0335,-118.3537
1300 E  57TH                         ST,33.9911,-118.2521
9000    CEDROS                       AV,34.2336,-118.4535
100 W  COLDEN                       AV,33.9492,-118.2739
13400    RANGOON                      ST,34.2285,-118.4258
900 N  MARIPOSA                     AV,34.0868,-118.2991
VALJEAN                      ST,34.1939,-118.4859
900 S  LAKE                         ST,34.0539,-118.2799
4200    SANTO TOMAS                  DR,34.0103,-118.3456
400 W  90TH                         ST,33.9551,-118.2814
4000    WALL                         ST,34.0112,-118.2716
4500    LOMITA                       ST,34.0452,-118.3351
5200    GENESTA                      AV,34.166,-118.5033
800 S  TREMAINE                     AV,34.0608,-118.3359
16700    MONTE HERMOSO                DR,34.0677,-118.552
8500    COLUMBUS                     AV,34.2246,-118.4654
1700 S  WESTMORELAND                 AV,34.0433,-118.2892
200 E  AVENUE 28,34.082,-118.213
21000    VANOWEN                      ST,34.1938,-118.5906
2800    WAVERLY                      DR,34.1084,-118.2639
7700    SAUSALITO                    AV,34.2105,-118.6157
1600 W  67TH                         ST,33.9785,-118.3068
1200 S  WESTGATE                     AV,34.0474,-118.4635
6200    4TH                          AV,33.9837,-118.3216
100 E  85TH                         ST,33.961,-118.2739
2800 E  OBSERVATORY                  RD,34.1192,-118.3004
WASHINGTON                   PL,34.0022,-118.4255
200 S  CORONADO                     ST,34.0697,-118.2779
7800 S  SAN PEDRO                    ST,33.9679,-118.2695
8700    ORCHARD                      AV,33.9587,-118.2882
5700    CARTWRIGHT                   AV,34.174,-118.3638
3400    PERCY                        ST,34.0286,-118.1996
8700    TOBIAS                       AV,34.228,-118.4517
17900    EMELITA                      ST,34.1776,-118.523
700 E  73RD                         ST,33.9739,-118.263
1100 W  6TH                          ST,34.0541,-118.2621
5700    COLFAX                       AV,34.174,-118.3878
2700 S  CENTRAL                      AV,34.0174,-118.2621
15200    LA MAIDA                     ST,34.1585,-118.464
14500    WILLOWGREEN                  LN,34.3194,-118.4518
1400 W  25TH                         ST,34.0337,-118.2915
500 W  75TH                         ST,33.9717,-118.2827
2300 S  MEYLER                       ST,33.7234,-118.2968
1200 W  7TH                          ST,34.0552,-118.2675
11100    HERRICK                      AV,34.2713,-118.415
6700    BAKMAN                       AV,34.1925,-118.3779
7200    FRANKLIN                     AV,34.1146,-118.3607
3300    GLENDALE                     BL,34.1142,-118.2652
17100    CHATSWORTH                   ST,34.2648,-118.5055
4900 W  WASHINGTON                   BL,34.0431,-118.3482
2600 E  4TH                          ST,34.0395,-118.2093
800 S  HOPE                         ST,34.0466,-118.259
6200    HOLLYWOOD                    BL,34.103,-118.3225
6TH                          ST,34.0403,-118.2421
1700    COMSTOCK                     AV,34.0596,-118.4233
9300    TAMPA                        AV,34.244,-118.5583
2800    COLORADO                     BL,34.1428,-118.2261
17400    NORDHOFF                     ST,34.2394,-118.5112
14600    NURMI                        ST,34.307,-118.4521
500 W  108TH                        ST,33.9383,-118.2826
18600    PRAIRIE                      ST,34.2442,-118.5362
7400    JAMIESON                     AV,34.2048,-118.5219
15400    EL CAJON                     ST,34.3054,-118.4681
12600 W  JEFFERSON                    BL,33.9788,-118.4151
8300 S  HARVARD                      BL,33.9636,-118.3068
10800    HORTENSE                     ST,34.1548,-118.3662
12700    PACIFIC                      AV,33.9993,-118.4397
5900    CARPENTER                    AV,34.1776,-118.3889
1500 E  112TH                        ST,33.9332,-118.2485
