dr_no,date_rptd,date_occ,area,crm_cd,location
190326475,3/1/2020 0:00,3/1/2020 0:00,7,510,1900 S  LONGWOOD                     AV
200106753,2/9/2020 0:00,2/8/2020 0:00,1,330,1000 S  FLOWER                       ST
200320258,11/11/2020 0:00,11/4/2020 0:00,3,480,1400 W  37TH                         ST
200907217,5/10/2023 0:00,3/10/2020 0:00,9,343,14000    RIVERSIDE                    DR
220614831,8/18/2022 0:00,8/17/2020 0:00,6,354,1900    TRANSIENT
231808869,4/4/2023 0:00,12/1/2020 0:00,18,354,9900    COMPTON                      AV
230110144,4/4/2023 0:00,7/3/2020 0:00,1,354,1100 S  GRAND                        AV
220314085,7/22/2022 0:00,5/12/2020 0:00,3,354,2500 S  SYCAMORE                     AV
231309864,4/28/2023 0:00,12/9/2020 0:00,13,354,1300 E  57TH                         ST
211904005,12/31/2020 0:00,12/31/2020 0:00,19,624,9000    CEDROS                       AV
221804943,1/21/2022 0:00,7/1/2020 0:00,18,354,100 W  COLDEN                       AV
221908151,4/12/2022 0:00,10/1/2020 0:00,19,821,13400    RANGOON                      ST
230204214,1/5/2023 0:00,2/1/2020 0:00,2,812,900 N  MARIPOSA                     AV
221008844,5/6/2022 0:00,11/1/2020 0:00,10,510,VALJEAN                      ST
230207571,3/16/2023 0:00,1/1/2020 0:00,2,810,900 S  LAKE                         ST
230312288,6/1/2023 0:00,2/2/2020 0:00,3,354,4200    SANTO TOMAS                  DR
231805781,2/3/2023 0:00,7/1/2020 0:00,18,354,400 W  90TH                         ST
231322474,12/24/2023 0:00,1/9/2020 0:00,13,354,4000    WALL                         ST
210705560,11/27/2020 0:00,11/27/2020 0:00,7,230,4500    LOMITA                       ST
221016258,9/20/2022 0:00,1/1/2020 0:00,10,956,5200    GENESTA                      AV
220705246,2/3/2022 0:00,2/11/2020 0:00,7,341,800 S  TREMAINE                     AV
230808643,4/25/2023 0:00,1/1/2020 0:00,8,341,16700    MONTE HERMOSO                DR
231907172,3/21/2023 0:00,3/15/2020 0:00,19,812,8500    COLUMBUS                     AV
232011098,6/4/2023 0:00,7/1/2020 0:00,20,812,1700 S  WESTMORELAND                 AV
200412582,9/9/2020 0:00,9/9/2020 0:00,4,510,200 E  AVENUE 28
232112438,8/3/2023 0:00,7/1/2020 0:00,21,354,21000    VANOWEN                      ST
221105176,2/2/2022 0:00,2/9/2020 0:00,11,930,2800    WAVERLY                      DR
222106031,2/23/2022 0:00,8/14/2020 0:00,21,668,7700    SAUSALITO                    AV
211209197,3/20/2021 0:00,7/1/2020 0:00,12,354,1600 W  67TH                         ST
220808837,4/28/2022 0:00,3/30/2020 0:00,8,624,1200 S  WESTGATE                     AV
231207725,2/27/2023 0:00,1/27/2020 0:00,12,354,6200    4TH                          AV
231205231,1/17/2023 0:00,1/1/2020 0:00,12,354,100 E  85TH                         ST
231108757,5/9/2023 0:00,5/8/2020 0:00,11,330,2800 E  OBSERVATORY                  RD
221404806,1/19/2022 0:00,1/18/2020 0:00,14,420,WASHINGTON                   PL
220215983,9/6/2022 0:00,5/26/2020 0:00,2,420,200 S  CORONADO                     ST
211220472,9/27/2021 0:00,11/26/2020 0:00,12,930,7800 S  SAN PEDRO                    ST
211818877,10/22/2021 0:00,3/10/2020 0:00,18,354,8700    ORCHARD                      AV
